Feature	Gain	Cover	Frequency	pos
canarito15	0.0021159775622368	0.00197169522802686	0.0073760200878845	123
Visa_Finiciomora_rank	0.0021137135455996	0.00577299967964409	0.00753295668549906	124
canarito9	0.00206990770392118	0.00522699310812802	0.00698367859384809	125
mv_status01_rank	0.00206247608474563	0.00190000261379323	0.00596359070935342	126
internet	0.00202124974154679	0.00770665935691173	0.00298179535467671	127
cliente_edad	0.00197306922128743	0.0031564187472708	0.0043157564344005	128
canarito24	0.00196553451643488	0.00229031713393634	0.00619899560577527	129
canarito1	0.00196238546276755	0.00140067092133551	0.00666980539861896	130
mcomisiones_mantenimiento	0.00196047211399379	0.00378697206683679	0.00321720025109856	131
mactivos_margen_rank	0.00195541977517225	0.0041571895349448	0.00392341494036409	132
cmobile_app_trx_delta2	0.00195391429158766	0.00481994724229725	0.0060420590081607	133
canarito25	0.00193309380864039	0.00296205687828895	0.0069052102950408	134
canarito21	0.00191721920793739	0.00210859456645073	0.00651286880100439	135
canarito5	0.00191205616341114	0.00178933839369158	0.00651286880100439	136
canarito19	0.00187801555148617	0.00252854571665019	0.00666980539861896	137
Master_mfinanciacion_limite_rank	0.00187190552415671	0.00254334868651264	0.00525737602008789	138
canarito26	0.00181630010787145	0.0115307820699513	0.00674827369742624	139
canarito8	0.00178484419671137	0.0031833546281608	0.00659133709981168	140
canarito2	0.00176138733731413	0.00256919506063668	0.00580665411173886	141
tmobile_app	0.00176066171912953	0.00408494960980057	0.00329566854990584	142
cproductos_avg6	0.0017530884282341	0.00228888491846934	0.00462962962962963	143
Visa_mfinanciacion_limite_rank	0.00165118588944835	0.00799611521784688	0.00486503452605148	144
cproductos	0.00159999985920042	0.00827250211264569	0.00337413684871312	145
mpasivos_margen_rank	0.00158841331390709	0.00285841051397558	0.00423728813559322	146
canarito22	0.00150917186712073	0.00161102245299533	0.00557124921531701	147
canarito3	0.00150489775929354	0.00213043585232242	0.00549278091650973	148
mrentabilidad_rank	0.0014993916571153	0.00157698687543321	0.00462962962962963	149
mv_msaldototal_rank	0.00142140140657391	0.00176837689732105	0.00321720025109856	150
mrentabilidad	0.00135566993579785	0.000987563715046206	0.00376647834274953	151
mv_status04	0.00063196287953612	9.41119013473618e-05	0.000392341494036409	152
cpayroll_trx_lag1	0.000560219278892251	0.00485199817842653	0.00141242937853107	153
