experimento	fecha	cols	rows	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
8101HTa	20220701 041514	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0454584387248833	0.129245956230945	150	7521	255	0.015705004694264	11536	14744000	83
8101HTa	20220701 041617	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200860254506387	0.296864623691171	185	7235	163	0.0152020131319934	11992	14888000	84
8101HTa	20220701 041807	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0396570085425566	0.561873050104492	16	6905	724	0.0209725067325083	9204	14316000	85
8101HTa	20220701 041914	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0624139746473028	0.570503982967955	50	2318	243	0.0170950980030549	10160	14320000	86
8101HTa	20220701 041937	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0522201122068032	0.102039496656979	24	7753	165	0.0150511994796734	11902	14498000	87
8101HTa	20220701 042020	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0609232207398949	0.233331882012885	288	5781	132	0.0209333238627304	9054	14226000	88
8101HTa	20220701 042129	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0736277291420314	0.666893977683654	17	4995	352	0.0229205249383935	8658	13542000	89
8101HTa	20220701 042202	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.05872054988996	0.142643760945227	107	7931	143	0.0219277454797228	8926	14714000	90
8101HTa	20220701 042340	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200551363492136	0.513926315302958	341	7728	215	0.0151789756074617	11828	14452000	91
8101HTa	20220701 042600	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0243075470575538	0.403243967252159	566	7142	668	0.0188638446082314	9120	14040000	92
8101HTa	20220701 042815	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0653218359307482	0.854928444235054	209	7641	361	0.014506376512027	9620	14140000	93
8101HTa	20220701 043108	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0200602831315447	0.787621146602089	16	4766	1090	0.0239818321680396	8490	14310000	94
8101HTa	20220701 043226	118	1201381	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0590528271271481	0.706824670920151	111	7854	102	0.0175502937403621	10630	14810000	95
