fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	experimento	cols	rows	iteracion
20220630 091944	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	676	TRUE	0.0106366101178935	0.203385455085854	7629	2047	0.0180534399083873	132732000	HT7310	212	1658475	90
20220630 093353	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	320	TRUE	0.0384885476051521	0.999088262300979	18991	1022	0.0155596159473696	132481000	HT7310	212	1658475	91
20220630 094553	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	459	TRUE	0.0377264017176924	0.458753789800118	19271	1555	0.0160697286339	133922000	HT7310	212	1658475	92
20220630 101755	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	991	TRUE	0.0100518127503585	0.417673988358781	6779	473	0.0124820140952169	132437000	HT7310	212	1658475	93
20220630 102644	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	331	TRUE	0.0393076750427848	0.412633798243801	19249	1492	0.0144858173361462	132968000	HT7310	212	1658475	94
20220630 103654	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	290	TRUE	0.026692362666933	0.42688658375837	11086	521	0.0135266536464699	133172000	HT7310	212	1658475	95
20220630 111931	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	2593	TRUE	0.0101244752070422	0.226376427371764	6918	2045	0.00834528555252626	127877000	HT7310	212	1658475	96
20220630 113722	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	735	TRUE	0.0115335615792009	0.286101422625725	11026	2046	0.0196825247614597	132248000	HT7310	212	1658475	97
20220630 115110	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	339	TRUE	0.0245147249590818	0.48005270186434	6710	457	0.0147462398890928	133629000	HT7310	212	1658475	98
20220630 123233	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	969	TRUE	0.0100034563748163	0.531845658583164	4425	1617	0.0113458554829413	131529000	HT7310	212	1658475	99
20220630 124844	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	586	TRUE	0.0204015956312683	0.45289446264809	19258	854	0.0149405276057624	133498000	HT7310	212	1658475	100
20220630 135201	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	2837	TRUE	0.0104514478516318	0.997746542051692	19965	17	0.0222398146506463	129723000	HT7310	212	1658475	101
20220630 141123	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	835	TRUE	0.0100170658818204	0.270992756062817	10630	1989	0.0157776939061341	134494000	HT7310	212	1658475	102
20220630 143526	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	1272	TRUE	0.0101313761431376	0.250587994404116	10681	2048	0.0161540482540543	133316000	HT7310	212	1658475	103
20220630 150604	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	1388	TRUE	0.0100874125591481	0.321243025425147	10358	1965	0.0148856433701853	133929000	HT7310	212	1658475	104
20220630 154135	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	1216	TRUE	0.0100548004958017	0.455426937833417	11689	1981	0.0156739985305917	133654000	HT7310	212	1658475	105
20220630 160008	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	1087	TRUE	0.0103748291813447	0.200825581171852	11627	1781	0.0185929972780962	133834000	HT7310	212	1658475	106
20220630 161954	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	469	TRUE	0.0100483198527696	0.214831939018467	1480	2008	0.0143270148779991	133029000	HT7310	212	1658475	107
20220630 164213	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	1202	TRUE	0.0100004313211279	0.234554535178477	10770	1699	0.0156786134851814	133529000	HT7310	212	1658475	108
20220630 172252	binary	custom	TRUE	TRUE	FALSE	-100	442837	-1	0	0	0	31	657	TRUE	0.0101759847878298	0.426668067270284	904	1347	0.00835787048921167	130210000	HT7310	212	1658475	109
