fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220426 134331	0	0	0	1	hist	lossguide	256	0	1	0.0101445287344194	0.200207735330217	9	2	0.0149696216815259	2751	13145000	56
20220426 134427	0	0	0	1	hist	lossguide	256	0	1	0.0375720864384533	0.200479140007226	10	336	0.0184040242771383	80	12723000	57
20220426 134850	0	0	0	1	hist	lossguide	256	0	1	0.0157809067343566	0.999412147718189	9	2	0.0230619384658421	2415	13039000	58
20220426 134917	0	0	0	1	hist	lossguide	256	0	1	0.296219281406843	0.994710930642237	8	2	0.0189629081427873	184	12849000	59
20220426 134940	0	0	0	1	hist	lossguide	256	0	1	0.245989612707654	0.201540633546951	7	2	0.0175593244901391	141	13159000	60
20220426 135000	0	0	0	1	hist	lossguide	256	0	1	0.246111462704457	0.637240009174762	8	2	0.0145255997723811	108	12999000	61
20220426 135023	0	0	0	1	hist	lossguide	256	0	1	0.221366006840981	0.890955727086938	7	1023	0.0129341463505241	5	11217000	62
20220426 135056	0	0	0	1	hist	lossguide	256	0	1	0.194830682328944	0.205492652397974	7	2	0.0140468747479229	249	12917000	63
20220426 135121	0	0	0	1	hist	lossguide	256	0	1	0.141896701917512	0.241272314963269	8	32	0.018282517202254	24	12237000	64
20220426 135225	0	0	0	1	hist	lossguide	256	0	1	0.0463133432335831	0.200238138007856	7	917	0.0144208754660126	110	12859000	65
20220426 135252	0	0	0	1	hist	lossguide	256	0	1	0.254437734557701	0.997879600709487	10	2	0.0203840864735509	174	13104000	66
20220426 135323	0	0	0	1	hist	lossguide	256	0	1	0.103226896357731	0.236667788777894	7	53	0.0127960472448459	24	12390000	67
20220426 135348	0	0	0	1	hist	lossguide	256	0	1	0.166410865117681	0.883774796020842	7	4	0.0157290808633397	120	13113000	68
20220426 135651	0	0	0	1	hist	lossguide	256	0	1	0.0100172856405263	0.561753550120842	8	543	0.0147464258577289	253	13306000	69
20220426 140000	0	0	0	1	hist	lossguide	256	0	1	0.0100655871061221	0.310010578179829	9	255	0.0257407429695098	310	11916000	70
20220426 140305	0	0	0	1	hist	lossguide	256	0	1	0.0150601917200833	0.625336543634013	9	2	0.0158314033925684	1618	13076000	71
20220426 140330	0	0	0	1	hist	lossguide	256	0	1	0.240497640304022	0.999448756153406	9	2	0.0166869678719617	160	12868000	72
20220426 140657	0	0	0	1	hist	lossguide	256	0	1	0.0100562804631643	0.240233091589097	10	1023	0.0144092215963061	466	13048000	73
20220426 140716	0	0	0	1	hist	lossguide	256	0	1	0.294810707516643	0.313083613205761	10	2	0.0175971214265966	103	12910000	74
