fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220605 224608	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	134	TRUE	442837	0.0100476342291275	0.407504959925594	934	16	0.0105547541927899	13376000	100
20220605 224617	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	33	TRUE	442837	0.159209905573498	0.996071492092182	5805	682	0.0135247170404891	13043000	101
20220605 224723	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	272	TRUE	442837	0.0100762639622277	0.359338357533783	461	20	0.0097518165154819	13291000	102
20220605 224841	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	254	TRUE	442837	0.0102700682026064	0.517172763641074	2002	31	0.0140965092585541	13506000	103
20220605 224857	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	7	TRUE	442837	0.150740147804263	0.323744954045193	908	43	0.0125189241809678	11974000	104
20220605 224931	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	149	TRUE	442837	0.035161781439541	0.351649463999764	7582	505	0.0136219572258354	13021000	105
20220605 225032	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	177	TRUE	442837	0.0100189112224616	0.431441483244409	1326	16	0.0136796194863148	13609000	106
20220605 225050	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	58	TRUE	442837	0.0733054592871376	0.641733740653087	2248	1024	0.0127010384255962	13153000	107
20220605 225107	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	67	TRUE	442837	0.0846342560047055	0.361679285673877	5395	402	0.012792562459088	12979000	108
20220605 225116	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	22	TRUE	442837	0.231663943335457	0.960481849121816	6301	657	0.015982003493143	13148000	109
20220605 225126	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	15	TRUE	442837	0.248149957134871	0.690212696133608	2324	1023	0.0115270750835305	11905000	110
20220605 225310	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	418	TRUE	442837	0.0100602940544076	0.475064511338225	1776	587	0.0122190723967842	13358000	111
20220605 225332	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	61	TRUE	442837	0.0714049915592728	0.999913007177724	6355	164	0.0116884652950347	12621000	112
20220605 225348	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	31	TRUE	442837	0.171722316432232	0.582312874485541	5529	826	0.0167307204168075	13111000	113
20220605 225500	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	217	TRUE	442837	0.0101933146840697	0.65689804769882	1657	95	0.0119369465830427	13575000	114
20220605 225548	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	335	TRUE	442837	0.0101444325495421	0.644606389960972	723	16	0.012544167430988	13752000	115
20220605 225653	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	271	TRUE	442837	0.0102175130454296	0.387009251802077	700	16	0.012835674435039	13466000	116
20220605 225749	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	313	TRUE	442837	0.0103064652508741	0.673431541142345	1119	30	0.0126125560581792	13871000	117
20220605 225805	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	55	TRUE	442837	0.083518686552294	0.347294768338652	4615	63	0.0155318616045733	13235000	118
20220605 225920	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	224	TRUE	442837	0.0100896997367887	0.843878359979851	1275	250	0.0110059895291524	13387000	119
20220605 230050	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	426	TRUE	442837	0.0103982483064741	0.550432229779878	6428	972	0.0156302475563496	13113000	120
