fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220604 212424	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	22	TRUE	0.227709351993166	0.6034373793751	6920	661	0.0433458277984755	8830000	20
20220604 212433	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	25	TRUE	0.140015193098633	0.935550520056044	6521	845	0.0162881356279698	12656000	21
20220604 212446	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	59	TRUE	0.150812254239471	0.592880764594562	5706	871	0.0204717803743024	12838000	22
20220604 212457	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	39	TRUE	0.147178013005965	0.709260155391013	4883	1023	0.014893986132987	12566000	23
20220604 212512	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	83	TRUE	0.0687408619728497	0.680691423107038	4718	783	0.0155838247259134	13475000	24
20220604 212624	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	522	TRUE	0.0103935020412938	0.697541762647783	3893	790	0.0154978141230114	13513000	25
20220604 212749	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	547	TRUE	0.0101664612443647	0.602351118256886	5287	793	0.0151185058449937	13436000	26
20220604 212838	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	293	TRUE	0.0136874717814318	0.759213242110901	4229	703	0.0144550129243531	13536000	27
20220604 212915	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	223	TRUE	0.0199034741202742	0.762594267157538	4328	783	0.0140533366098072	13478000	28
20220604 213027	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	451	TRUE	0.0102045869915557	0.752645464636448	4354	732	0.0157250066232286	13619000	29
20220604 213124	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	459	TRUE	0.0145363763951562	0.77005827518447	4317	716	0.0187853723897665	12955000	30
20220604 213220	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	388	TRUE	0.012837995286866	0.911630299572785	4362	749	0.0153120812678131	13184000	31
20220604 213320	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	436	TRUE	0.0102689637237062	0.726075155895308	5839	386	0.0134047078390108	13068000	32
20220604 213421	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	503	TRUE	0.0125790840933848	0.73134337237454	5675	715	0.0154957564053655	13346000	33
20220604 213526	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	331	TRUE	0.0100214716125356	0.627929872385703	4384	620	0.0127896444830082	13245000	34
20220604 213630	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	402	TRUE	0.0105588968455135	0.75655226019792	4007	263	0.0157325065725372	13421000	35
20220604 213729	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	408	TRUE	0.0117174051298849	0.749261050035474	4283	499	0.0155250408197125	13747000	36
20220604 213832	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	369	TRUE	0.0142456687707463	0.764745081593563	2388	449	0.0156523049581966	13362000	37
20220604 213948	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	502	TRUE	0.0100196133735222	0.635818553396862	4342	455	0.0154152576746322	13703000	38
20220604 214102	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	446	TRUE	0.0139981733116119	0.267843046386626	4409	515	0.0157115134813289	13541000	39
20220604 214215	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	556	TRUE	0.0105372747764379	0.669736914273375	4234	545	0.0158934905175303	13616000	40
20220604 214243	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	151	TRUE	0.0263906424579696	0.747069347493665	4250	459	0.0151560457798151	13351000	41
20220604 214258	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	47	TRUE	0.10674166271522	0.494074187941814	5162	442	0.0163153361714309	13322000	42
20220604 214310	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	50	TRUE	0.170590347607724	0.316619018091831	7996	373	0.0160410428814968	13050000	43
20220604 214322	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	28	TRUE	0.165682288484855	0.372986675484925	5357	23	0.0204472748248748	12725000	44
20220604 214342	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	113	TRUE	0.0862328131624213	0.327384549482153	6392	895	0.0157942802513056	12967000	45
20220604 214352	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	50	TRUE	0.107083855521264	0.756475574231439	7987	476	0.0216397305026227	12909000	46
20220604 214402	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	54	TRUE	0.176225335724469	0.752231806164993	7915	16	0.0156562238869563	12937000	47
20220604 214414	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	60	TRUE	0.0956441791643969	0.775859426225261	4752	514	0.0156110853153985	12984000	48
20220604 214427	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	45	TRUE	0.191981873232877	0.567231111283951	7999	556	0.0114115513967629	12276000	49
20220604 214644	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	992	TRUE	0.0100104058379941	0.409694576025951	4715	441	0.0153757660414823	13605000	50
20220604 214701	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	69	TRUE	0.066496450162728	0.247432263608474	4451	480	0.015551951274689	13214000	51
20220604 214713	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	40	TRUE	0.164758188035727	0.591455602270365	6295	349	0.0168290637803536	12761000	52
20220604 214722	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	34	TRUE	0.183525754025809	0.990190888925442	7997	851	0.0229584132541268	12838000	53
20220604 214735	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	50	TRUE	0.187768499576908	0.508620398212026	7999	18	0.0257073593754722	11890000	54
20220604 214751	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	93	TRUE	0.119667282526096	0.200886407702751	4560	757	0.0164488685307652	13767000	55
20220604 214809	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	78	TRUE	0.113732689935263	0.374568067039758	4383	792	0.0164564283021489	13706000	56
20220604 214824	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	74	TRUE	0.124182873696356	0.201335755169809	2735	505	0.0161357423816812	12879000	57
20220604 214845	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	115	TRUE	0.1121846388914	0.435338188205069	4858	752	0.0158001716492068	13469000	58
20220604 214858	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	55	TRUE	0.113756384745425	0.20757837415429	4653	803	0.0177679641575506	13088000	59
20220604 215026	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	800	TRUE	0.010017605497108	0.804391454909693	4779	422	0.0165321561015463	13079000	60
20220604 215042	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	37	TRUE	0.181168063442443	0.25631587108148	5082	790	0.0164461752121738	13636000	61
20220604 215103	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	94	TRUE	0.0733796997747241	0.342913247815131	4680	710	0.0221845624805943	12875000	62
20220604 215308	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	964	TRUE	0.0110856854382201	0.389193434602031	4424	18	0.0155846293056523	13661000	63
20220604 215320	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	46	TRUE	0.164586115377668	0.202794294893239	5531	45	0.016364490701953	13009000	64
20220604 215458	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	502	TRUE	0.0101780492450486	0.457665103027294	4205	37	0.0140339702593663	13463000	65
20220604 215606	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	560	TRUE	0.0100956290774036	0.684805079802166	5010	17	0.0154868047952428	13504000	66
20220604 215739	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	431	TRUE	0.0102270004975059	0.519200481895363	5039	19	0.0112257686466683	13012000	67
20220604 215928	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	496	TRUE	0.0104883686919214	0.472147640440962	2213	356	0.0204820397943034	13300000	68
20220604 220001	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	31	TRUE	0.0642072395815023	0.448719338082398	285	646	0.0199328953565631	11775000	69
20220604 220206	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1056	TRUE	0.0100710294248746	0.26015279615991	4892	301	0.020543837958794	13113000	70
20220604 220324	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	691	TRUE	0.010106543695627	0.727103467996675	2833	18	0.0209796591903602	13021000	71
